"Geneid","SRR1177960.","SRR1177967.","SRR1177968.","SRR1177971.","SRR1177984.","SRR1177985.","SRR1177986.","SRR1178023.","SRR1178049."
"NM_153300",79,34,58,98,153,110,132,112,110
"NM_001191624",346,129,177,293,740,590,602,307,252
"NM_001108486",437,427,568,641,305,258,364,466,578
"NM_001025681",212,535,589,491,244,254,312,343,358
"NM_052807",22,29,20,31,46,46,62,15,32
"NM_001191625",104,51,97,91,90,69,70,109,180
"NM_001107524",4,8,6,22,42,14,14,4,8
"NM_001107523",1302,1325,1190,1570,1107,1246,1193,1114,1529
"NM_057207",29,2,2,2,2,0,6,6,4
"NM_001040186",6,8,0,2,12,2,11,3,0
"NM_012811",0,0,0,0,0,0,0,0,0
"NM_001106274",0,0,0,0,0,0,0,0,2
"NM_001107527",517,216,265,314,383,332,404,423,354
"NM_001115039",654,437,586,732,395,442,484,606,532
"NM_001191949",12,21,188,33,5,3,0,6,19
"NM_001108489",673,813,353,801,2490,1918,2336,474,614
"NM_001106272",1384,1585,1078,1381,1692,1505,1640,1207,1444
"NM_198767",818,714,750,915,913,808,886,683,958
"NM_001106276",0,10,8,2,10,0,0,0,2
"NM_001191627",0,0,4,2,2,2,0,0,2
"NM_053309",315,201,156,155,132,183,136,262,288
"NM_001011932",1228,1502,2030,1732,1078,1075,1042,1049,1327
"NM_001107533",79,44,30,71,68,58,58,42,52
"NM_001107534",389,273,396,421,354,417,378,395,451
"NM_001105749",80,32,46,87,303,176,246,71,63
"NM_001170432",542,216,229,429,205,354,181,442,444
"NM_012781",6,4,0,10,24,4,6,4,8
"NM_001007630",2268,1271,1310,1667,1628,1569,1699,1932,2608
"NM_173317",0,0,0,0,0,0,0,0,0
"NM_053524",103,10,51,80,136,168,102,72,31
"NM_057185",12,0,0,8,8,8,6,2,9
"NM_017012",2,3,0,0,0,4,4,0,0
"NM_145774",573,260,222,348,248,410,318,406,298
"NM_001013897",459,569,549,453,456,363,391,458,408
"NM_001108491",63,359,888,204,52,140,85,33,76
"NM_001024885",308,291,315,388,284,263,285,273,242
"NM_017198",365,100,73,214,538,573,516,391,319
"NM_053417",61,58,34,71,299,166,215,21,66
"NM_001034921",192,171,221,236,172,203,181,174,216
"NM_001108493",145,68,127,117,96,122,108,118,168
"NM_153473",262,83,69,102,250,252,255,165,227
"NM_130737",4,0,0,0,0,4,0,4,6
"NM_012910",124,63,61,79,173,142,183,117,125
"NM_017204",19,47,129,33,42,45,51,11,16
"NM_080786",6090,1743,3025,3797,2820,3013,2962,5313,6466
"NM_001005885",6,1,4,4,22,10,11,6,4
"NM_198775",2,3,2,3,31,3,10,0,0
"NM_053366",2261,2714,2330,2368,3082,2685,2620,2357,3171
"NM_001191602",179,341,361,392,295,232,292,187,264
"NM_001108494",1016,542,564,839,809,830,799,878,939
"NM_001107539",2159,1385,1631,1487,1154,946,1226,2322,2886
"NM_031079",0,0,0,0,0,0,0,0,0
"NM_001270604",4,1,1,2,1,0,2,1,3
"NM_001143847",0,0,0,0,0,0,0,0,0
"NM_031074",3722,2983,3999,4594,2396,2544,2391,2906,3649
"NM_001107540",389,366,297,361,357,391,396,343,322
"NM_001108496",1486,805,850,1007,1107,1059,1110,1413,1401
"NM_001000136",0,0,0,0,0,0,0,0,0
"NM_033234",1639,1234,2519,6971,11682,4417,7907,996,955
"NM_001001037",0,0,0,0,0,0,0,0,0
"NM_053324",0,0,2,2,10,4,10,2,0
"NM_001100582",1077,1080,903,1710,488,519,600,814,909
"NM_001000947",0,0,0,0,0,0,0,0,0
"NM_001106290",1656,2973,2925,2537,2202,2135,2310,2818,3721
"NM_001107547",1098,816,854,1302,755,841,1027,1169,1176
"NM_001134970",1227,678,847,1100,959,1045,1116,1038,1293
"NM_031544",15,28,14,20,93,55,81,10,14
"NM_001105210",10,3,4,4,2,6,0,23,11
"NM_001106288",810,922,568,1001,1106,989,952,918,952
"NM_001105211",0,0,0,0,0,0,0,0,2
"NM_001079884",183,70,46,118,130,106,149,136,196
"NM_001139508",467,532,220,588,615,645,740,260,323
"NM_001198589",142,145,98,192,177,261,234,116,225
"NM_020656",558,402,445,517,597,537,612,493,581
