"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_145084",72686.9114384519,2.26311984215874,0.260189783846472,3.15770265852325e-19,5.76649133823987e-17
"NM_013155",865.326762993845,3.94825028429882,0.45831941587067,3.62366936336202e-19,6.50894183841928e-17
"NM_017075",38063.3490089682,2.14406863029462,0.25051590502104,5.61855491284667e-19,9.929436480655e-17
"NM_001191667",364.416259473779,2.66464849458522,0.310612054037971,6.33552273223852e-19,1.10187813614504e-16
"NM_022242",885.887178367954,2.72025329842118,0.318770088021863,8.97039404831777e-19,1.5357594935534e-16
"NM_001007264",15276.6005214756,-2.51454933969845,0.297958220718965,1.9519639319763e-18,3.29041058502527e-16
"NM_001024743",7077.10793610433,-2.16001008855604,0.256114518529194,2.03555825915312e-18,3.37933512811223e-16
"NM_130826",6743.06228160611,1.83686251942658,0.217655192581098,2.71189962158822e-18,4.43496778414062e-16
"NM_001107970",116.709871640378,4.70920701359122,0.56684251149607,4.93675537195736e-18,7.95471008978482e-16
"NM_053505",164.535354217647,4.79395651113576,0.578824918689878,5.58797284815453e-18,8.87353891264192e-16
"NM_001013975",1271.81644693456,-3.46109331713136,0.419387712811048,8.44777930193718e-18,1.32231882587608e-15
"NM_175760",1581.6772086721,2.64453691530426,0.321085676679626,1.13491059100662e-17,1.75143878107882e-15
"NM_001109440",4788.62715275711,2.99715595189692,0.364343552845899,1.15492594016939e-17,1.75757271200501e-15
"NM_131903",11208.9071402059,-4.19116415026428,0.511666875858839,1.25315303888504e-17,1.88093121192649e-15
"NM_001006966",15183.998278092,1.59059511403741,0.194664484209564,2.89474553411965e-17,4.28617929964176e-15
"NM_012674",339.438328322439,3.26115721122527,0.402803238488961,3.08942358972703e-17,4.51344190301855e-15
"NM_001108613",1408.48601305137,-2.45503441823489,0.30304526577613,3.86747756846289e-17,5.57578312074315e-15
"NM_001106275",4649.34434747535,-2.46307408189821,0.305692799054024,4.6497525961837e-17,6.61653755797205e-15
"NM_001039611",933.462560636215,1.29403106216276,0.159039627895797,4.87314726682598e-17,6.79296458106222e-15
"NM_001130502",56.4804395987306,3.75350175487652,0.464863191886789,4.89772932284307e-17,6.79296458106222e-15
"NM_207616",573.914985365045,-4.47579532656746,0.559355297978565,6.56364532805652e-17,8.98973273243941e-15
